Date,Open,High,Low,Close,Adj,Volume,Symbol
"Jan 25, 2025","104,839.47","105,142.84","104,133.78","104,425.06","104,425.06","42,543,095,808",BTC-USD
"Jan 24, 2025","103,965.67","107,098.55","102,772.13","104,819.48","104,819.48","52,388,229,265",BTC-USD
"Jan 23, 2025","103,657.67","106,820.33","101,257.80","103,960.17","103,960.17","104,104,515,428",BTC-USD
"Jan 22, 2025","106,136.38","106,294.34","103,360.27","103,653.07","103,653.07","53,878,181,052",BTC-USD
"Jan 21, 2025","102,052.58","107,180.92","100,103.95","106,146.27","106,146.27","88,733,878,242",BTC-USD
"Jan 20, 2025","101,083.75","109,114.88","99,471.36","102,016.66","102,016.66","126,279,678,351",BTC-USD
"Jan 19, 2025","104,411.29","106,299.80","99,570.53","101,089.61","101,089.61","76,789,928,525",BTC-USD
"Jan 18, 2025","104,124.95","104,913.20","102,226.62","104,408.07","104,408.07","50,445,655,726",BTC-USD
"Jan 17, 2025","100,025.77","105,884.23","99,948.91","104,462.04","104,462.04","71,888,972,663",BTC-USD
"Jan 16, 2025","100,505.30","100,781.59","97,364.45","99,756.91","99,756.91","54,103,781,805",BTC-USD
"Jan 15, 2025","96,534.05","100,697.23","96,501.64","100,504.49","100,504.49","57,805,923,627",BTC-USD
"Jan 14, 2025","94,519.01","97,352.66","94,322.16","96,534.05","96,534.05","53,769,675,818",BTC-USD
"Jan 13, 2025","94,488.89","95,837.00","89,260.10","94,516.52","94,516.52","72,978,998,252",BTC-USD
"Jan 12, 2025","94,565.73","95,367.54","93,712.51","94,488.44","94,488.44","20,885,130,965",BTC-USD
"Jan 11, 2025","94,700.84","94,977.69","93,840.05","94,566.59","94,566.59","18,860,894,100",BTC-USD
"Jan 10, 2025","92,494.49","95,770.61","92,250.09","94,701.45","94,701.45","62,058,693,684",BTC-USD
"Jan 9, 2025","95,043.48","95,349.72","91,220.84","92,484.04","92,484.04","62,777,261,693",BTC-USD
"Jan 8, 2025","96,924.16","97,258.32","92,525.84","95,043.52","95,043.52","63,875,859,171",BTC-USD
"Jan 7, 2025","102,248.85","102,712.48","96,132.88","96,922.70","96,922.70","58,685,738,547",BTC-USD
"Jan 6, 2025","98,314.95","102,482.88","97,926.15","102,078.09","102,078.09","51,823,432,705",BTC-USD
"Jan 5, 2025","98,233.91","98,813.30","97,291.77","98,314.96","98,314.96","20,525,254,825",BTC-USD
"Jan 4, 2025","98,106.99","98,734.43","97,562.98","98,236.23","98,236.23","22,342,608,078",BTC-USD
"Jan 3, 2025","96,881.73","98,956.91","96,034.62","98,107.43","98,107.43","35,611,391,163",BTC-USD
"Jan 2, 2025","94,416.29","97,739.82","94,201.57","96,886.88","96,886.88","46,009,564,411",BTC-USD
"Jan 1, 2025","93,425.10","94,929.87","92,788.13","94,419.76","94,419.76","24,519,888,919",BTC-USD
"Dec 31, 2024","92,643.25","96,090.60","91,914.03","93,429.20","93,429.20","43,625,106,843",BTC-USD
"Dec 30, 2024","93,527.20","94,903.32","91,317.13","92,643.21","92,643.21","56,188,003,691",BTC-USD
"Dec 29, 2024","95,174.05","95,174.88","92,881.79","93,530.23","93,530.23","29,635,885,267",BTC-USD
"Dec 28, 2024","94,160.19","95,525.90","94,014.29","95,163.93","95,163.93","24,107,436,185",BTC-USD
"Dec 27, 2024","95,704.98","97,294.84","93,310.74","94,164.86","94,164.86","52,419,934,565",BTC-USD
"Dec 26, 2024","99,297.70","99,884.57","95,137.88","95,795.52","95,795.52","47,054,980,873",BTC-USD
"Dec 25, 2024","98,675.91","99,478.75","97,593.47","99,299.20","99,299.20","33,700,394,629",BTC-USD
"Dec 24, 2024","94,684.34","99,404.06","93,448.02","98,676.09","98,676.09","47,114,953,674",BTC-USD
"Dec 23, 2024","95,099.39","96,416.21","92,403.13","94,686.24","94,686.24","65,239,002,919",BTC-USD
"Dec 22, 2024","97,218.32","97,360.27","94,202.19","95,104.94","95,104.94","43,147,981,314",BTC-USD
"Dec 21, 2024","97,756.20","99,507.10","96,426.52","97,224.73","97,224.73","51,765,334,294",BTC-USD
"Dec 20, 2024","97,484.70","98,098.91","92,175.18","97,755.93","97,755.93","105,634,083,408",BTC-USD
"Dec 19, 2024","100,070.69","102,748.15","95,587.68","97,490.95","97,490.95","97,221,662,392",BTC-USD
"Dec 18, 2024","106,147.30","106,470.61","100,041.54","100,041.54","100,041.54","93,865,656,139",BTC-USD
"Dec 17, 2024","106,030.69","108,268.45","105,291.73","106,140.60","106,140.60","68,589,364,868",BTC-USD
"Dec 16, 2024","104,293.58","107,780.58","103,322.98","106,029.72","106,029.72","91,020,417,816",BTC-USD
"Dec 15, 2024","101,373.53","105,047.54","101,227.03","104,298.70","104,298.70","51,145,914,137",BTC-USD
"Dec 14, 2024","101,451.44","102,618.88","100,634.05","101,372.97","101,372.97","40,422,968,793",BTC-USD
"Dec 13, 2024","100,046.65","101,888.80","99,233.28","101,459.26","101,459.26","56,894,751,583",BTC-USD
"Dec 12, 2024","101,167.80","102,524.91","99,339.95","100,043.00","100,043.00","72,073,983,533",BTC-USD
"Dec 11, 2024","96,656.06","101,913.36","95,747.23","101,173.03","101,173.03","85,391,409,936",BTC-USD
"Dec 10, 2024","97,441.23","98,270.16","94,321.26","96,675.43","96,675.43","104,823,780,634",BTC-USD
"Dec 9, 2024","101,237.06","101,272.51","94,355.91","97,432.72","97,432.72","110,676,473,908",BTC-USD
"Dec 8, 2024","99,921.91","101,399.99","98,771.52","101,236.02","101,236.02","44,125,751,925",BTC-USD
"Dec 7, 2024","99,916.71","100,563.38","99,030.88","99,923.34","99,923.34","44,177,510,897",BTC-USD
"Dec 6, 2024","97,074.23","102,039.88","96,514.88","99,920.71","99,920.71","94,534,772,658",BTC-USD
"Dec 5, 2024","98,741.54","103,900.47","91,998.78","96,593.57","96,593.57","149,218,945,580",BTC-USD
"Dec 4, 2024","95,988.53","99,207.33","94,660.52","98,768.53","98,768.53","77,199,817,112",BTC-USD
"Dec 3, 2024","95,854.59","96,297.20","93,629.56","96,002.16","96,002.16","67,067,810,961",BTC-USD
"Dec 2, 2024","97,276.01","98,152.60","94,482.87","95,865.30","95,865.30","72,680,784,305",BTC-USD
"Dec 1, 2024","96,461.34","97,888.13","95,770.19","97,279.79","97,279.79","36,590,695,296",BTC-USD
"Nov 30, 2024","97,468.81","97,499.34","96,144.22","96,449.05","96,449.05","31,634,227,866",BTC-USD
"Nov 29, 2024","95,653.95","98,693.17","95,407.88","97,461.52","97,461.52","54,968,682,476",BTC-USD
"Nov 28, 2024","95,954.95","96,650.20","94,677.35","95,652.47","95,652.47","52,260,008,261",BTC-USD
"Nov 27, 2024","91,978.14","97,361.18","91,778.66","95,962.53","95,962.53","71,133,452,438",BTC-USD
"Nov 26, 2024","93,087.28","94,991.75","90,770.81","91,985.32","91,985.32","91,656,519,855",BTC-USD
"Nov 25, 2024","98,033.45","98,935.03","92,642.91","93,102.30","93,102.30","80,909,462,490",BTC-USD
"Nov 24, 2024","97,778.09","98,647.18","95,788.08","98,013.82","98,013.82","51,712,020,623",BTC-USD
"Nov 23, 2024","99,006.74","99,014.68","97,232.89","97,777.28","97,777.28","44,414,644,677",BTC-USD
"Nov 22, 2024","98,496.43","99,655.50","97,222.66","98,997.66","98,997.66","78,473,580,551",BTC-USD
"Nov 21, 2024","94,334.64","99,014.22","94,132.60","98,504.73","98,504.73","106,024,505,582",BTC-USD
"Nov 20, 2024","92,341.89","94,902.02","91,619.50","94,339.49","94,339.49","71,730,956,426",BTC-USD
